DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f300ap3ae25.dwd
Config ID:,6-n6000f300ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
8,72.6013,-209.473,82.6721
8.0001,78.0029,-192.719,76.5381
8.0002,92.6514,-165.619,77.0874
8.0003,105.743,-134.583,79.1931
8.0004,128.082,-122.864,79.5593
8.0005,156.921,-124.603,79.4678
8.0006,177.338,-130.463,81.5735
8.0007,191.162,-140.9,84.4116
8.0008,205.536,-146.851,96.4966
8.0009,208.557,-136.23,91.2781
8.001,206.818,-119.568,89.9963
8.0011,209.29,-100.983,83.7708
8.0012,206.451,-71.7773,79.01
8.0013,200.867,-33.5083,81.2988
8.0014,200.043,-12.7258,84.0454
8.0015,198.578,-8.42285,90.271
8.0016,192.627,-7.59888,87.8906
8.0017,188.782,-8.3313,94.4824
8.0018,184.113,-5.49316,92.8345
8.0019,188.141,3.57056,102.997
8.002,194.55,18.5852,110.504
8.0021,193.085,39.8254,104.645
8.0022,195.282,65.3687,89.447
8.0023,188.69,78.0945,84.2285
8.0024,175.323,91.095,78.6438
8.0025,163.879,87.8906,83.8623
8.0026,151.978,85.6934,92.0105
8.0027,131.744,93.9331,87.7991
8.0028,112.701,91.2781,87.2498
8.0029,95.5811,83.313,85.6018
8.003,85.6018,83.1299,93.8416
8.0031,86.5173,90.9119,95.0317
8.0032,82.7637,99.7925,85.8765
8.0033,81.1157,102.173,78.2776
8.0034,80.2002,97.4121,38.8184
8.0035,57.1289,75.8057,-6.5918
8.0036,24.5361,7.69043,-3.66211
8.0037,-11.9019,-73.3337,9.79614
8.0038,-47.6074,-109.314,20.4163
8.0039,-59.3262,-89.7217,14.0991
8.004,-65.2771,-47.1497,21.698
8.0041,-65.8264,-13.5498,25.4517
8.0042,-46.4172,0.915527,24.1699
8.0043,-9.33838,8.3313,21.6064
8.0044,23.5291,15.8386,17.0288
8.0045,33.5083,11.4441,15.1978
8.0046,47.4243,-25.177,23.8037
8.0047,60.9741,-67.1997,28.4729
8.0048,58.6853,-86.1511,29.9377
8.0049,40.4663,-84.3201,29.2053
8.005,24.9939,-75.8057,28.4729
8.0051,17.9443,-67.0166,17.3035
8.0052,11.9019,-58.4106,14.4653
8.0053,7.23267,-43.7622,17.2119
8.0054,5.0354,-19.8669,15.7471
8.0055,8.14819,-6.31714,19.1345
8.0056,18.8599,-20.874,32.2266
8.0057,34.0576,-52.9175,48.3398
8.0058,48.6145,-71.3196,55.8472
8.0059,60.8826,-79.1931,48.8892
8.006,74.5239,-81.3904,38.0859
8.0061,85.0525,-75.6226,34.3323
8.0062,86.4258,-55.8472,28.2898
8.0063,82.1228,-23.4375,27.832
8.0064,68.8477,4.30298,29.8462
8.0065,49.9878,11.9019,29.8462
8.0066,35.4309,2.28882,29.0222
8.0067,29.1138,-12.5427,25.6348
8.0068,30.9448,-21.2402,20.9656
8.0069,35.3394,-20.6909,21.5149
8.007,37.262,-17.3035,27.6489
8.0071,38.8184,-7.78198,24.9939
8.0072,45.4102,11.0779,15.3809
8.0073,55.7556,29.9377,7.41577
8.0074,55.1147,37.9944,9.79614
8.0075,42.7551,37.5366,12.8174
8.0076,30.6702,32.5928,13.8245
8.0077,17.3035,26.825,10.2539
8.0078,-5.67627,14.6484,4.48608
8.0079,-29.9377,5.12695,6.13403
8.008,-40.3748,0.183105,8.60596
8.0081,-37.3535,3.11279,12.8174
8.0082,-23.6206,7.78198,18.3105
8.0083,8.3313,5.95093,45.8679
8.0084,35.614,-12.9089,78.186
8.0085,26.825,-60.6079,95.3064
8.0086,-30.8533,-111.328,92.1021
8.0087,-99.3347,-144.562,80.0171
8.0088,-135.498,-163.055,82.3975
8.0089,-150.696,-166.809,82.6721
8.009,-143.555,-169.922,99.5178
8.0091,-115.997,-165.07,116.821
8.0092,-75.2563,-151.703,117.92
8.0093,-28.4729,-142.456,105.194
8.0094,26.2756,-143.646,100.25
8.0095,68.3899,-155.548,106.201
8.0096,91.5527,-171.478,113.892
8.0097,101.074,-184.845,113.251
8.0098,103.455,-200.867,112.518
8.0099,92.7429,-210.846,97.4121
8.01,80.658,-208.74,87.5244
8.0101,85.6934,-191.986,79.01
8.0102,97.229,-164.52,79.01
8.0103,108.032,-138.794,76.355
8.0104,126.892,-131.561,76.355
8.0105,156.647,-131.927,81.9397
8.0106,180.634,-132.935,84.0454
8.0107,195.374,-134.583,88.1653
8.0108,206.36,-136.505,97.4121
8.0109,208.832,-130.096,90.1794
8.011,205.536,-117.92,88.8062
8.0111,207.092,-99.7925,85.8765
8.0112,203.339,-72.4182,86.2427
8.0113,198.212,-42.2058,85.8765
8.0114,199.493,-23.0713,85.5103
8.0115,200.134,-14.1907,90.3625
8.0116,200.134,-8.14819,91.4612
8.0117,197.021,-3.20435,95.3064
8.0118,191.895,1.92261,97.6868
8.0119,190.43,9.8877,102.814
8.012,191.071,23.8953,105.835
8.0121,190.43,42.572,101.349
8.0122,189.697,63.8123,92.926
8.0123,177.612,77.9114,92.0105
8.0124,171.387,88.9893,81.665
8.0125,163.696,91.4612,82.0313
8.0126,156.006,91.095,88.8062
8.0127,139.801,96.9543,88.623
8.0128,121.765,95.0317,88.8062
8.0129,103.455,88.623,88.4399
8.013,90.9119,88.4399,91.9189
8.0131,86.1511,93.8416,91.7358
8.0132,81.665,100.067,89.1724
8.0133,79.5593,101.166,85.6934
8.0134,74.9817,97.3206,40.8325
8.0135,50.354,76.355,-7.14111
8.0136,20.9656,9.24683,-2.83813
8.0137,-12.8174,-69.8547,9.97925
8.0138,-45.3186,-101.44,18.7683
8.0139,-53.3752,-80.9326,15.3809
8.014,-57.4036,-40.4663,23.8037
8.0141,-58.0444,-9.8877,27.5574
8.0142,-38.3606,-0.366211,25.2686
8.0143,-7.23267,4.39453,26.001
8.0144,19.3176,11.0779,18.0359
8.0145,28.9307,1.09863,15.9302
8.0146,40.0085,-35.2478,22.8882
8.0147,53.009,-71.5027,25.2686
8.0148,54.3823,-80.0171,26.0925
8.0149,40.1001,-75.0732,27.832
8.015,27.7405,-68.9392,29.8462
8.0151,21.4233,-67.9321,17.9443
8.0152,17.1204,-65.4602,11.7188
8.0153,13.2751,-52.3682,14.8315
8.0154,10.8032,-23.7122,18.1274
8.0155,11.4441,-4.85229,24.0784
8.0156,17.9443,-16.1133,37.3535
8.0157,31.311,-49.6216,49.4385
8.0158,45.5933,-73.8831,55.1147
8.0159,61.1572,-83.4045,47.9736
8.016,75.6226,-85.0525,38.0859
8.0161,85.4187,-76.4465,34.4238
8.0162,85.4187,-54.7485,31.311
8.0163,78.186,-21.8811,28.1067
8.0164,63.2629,3.38745,29.48
8.0165,46.6919,10.6201,27.1912
8.0166,37.1704,1.46484,28.1982
8.0167,33.9661,-14.0076,25.9094
8.0168,39.1846,-21.2402,23.2544
8.0169,43.8538,-18.9514,22.7966
8.017,42.3889,-13.7329,26.825
8.0171,41.1072,-4.48608,21.7896
8.0172,45.6848,11.3525,14.9231
8.0173,55.9387,28.5645,8.78906
8.0174,55.481,36.7126,10.1624
8.0175,40.0085,35.7056,12.2681
8.0176,24.7192,32.2266,12.1765
8.0177,10.8032,25.7263,2.74658
8.0178,-9.8877,14.4653,4.02832
8.0179,-30.9448,5.49316,5.76782
8.018,-39.5508,2.83813,9.06372
8.0181,-34.8816,4.85229,11.6272
8.0182,-21.5149,10.8032,13.3667
8.0183,10.8948,15.7471,40.2832
8.0184,59.4177,-3.75366,91.9189
8.0185,35.2478,-53.6499,96.3135
8.0186,-47.8821,-116.913,91.7358
8.0187,-110.138,-154.541,79.4678
8.0188,-145.294,-170.654,82.1228
8.0189,-160.309,-170.746,80.2917
8.019,-143.097,-168.091,106.476
8.0191,-110.413,-163.879,124.329
8.0192,-73.5168,-147.858,116.364
8.0193,-19.3176,-136.597,93.8416
8.0194,36.7126,-141.449,94.3909
8.0195,73.7915,-156.738,105.103
8.0196,94.574,-174.957,112.152
8.0197,99.9756,-193.817,114.075
8.0198,101.349,-205.536,109.68
8.0199,86.0596,-211.121,93.5669
8.02,73.0591,-207.916,82.3975
8.0201,82.8552,-191.345,79.7424
8.0202,95.3979,-163.239,78.5522
8.0203,105.927,-133.118,75.2563
8.0204,129.639,-123.23,77.7283
8.0205,159.027,-129.822,79.6509
8.0206,178.436,-134.033,85.7849
8.0207,194.183,-142.181,92.3767
8.0208,201.691,-144.47,96.0388
8.0209,204.346,-134.949,92.5598
8.021,205.811,-120.3,87.9822
8.0211,206.818,-101.898,80.658
8.0212,204.437,-67.8406,85.144
8.0213,203.796,-37.0789,86.792
8.0214,200.867,-22.1558,85.8765
8.0215,201.691,-13.0005,87.9822
8.0216,197.388,-11.8103,86.6089
8.0217,187.134,-10.8948,91.7358
8.0218,181.549,-5.49316,95.1233
8.0219,185.76,5.58472,101.715
8.022,191.071,21.7896,108.948
8.0221,192.535,43.1213,102.356
8.0222,191.162,66.5588,90.271
8.0223,177.338,90.6372,81.7566
8.0224,172.485,88.1653,77.2705
8.0225,164.886,86.4258,82.8552
8.0226,156.281,87.3413,91.4612
8.0227,137.512,92.0105,84.8694
8.0228,116.913,90.7288,82.2144
8.0229,97.229,83.313,89.2639
8.023,85.0525,83.7708,90.0879
8.0231,83.313,91.2781,88.1653
8.0232,80.3833,99.7925,85.968
8.0233,79.2847,100.616,80.0171
8.0234,76.5381,96.6797,35.614
8.0235,59.0515,75.2563,-4.39453
8.0236,28.3813,6.7749,-1.83105
8.0237,-9.97925,-73.6084,14.0076
8.0238,-46.1426,-105.194,19.3176
8.0239,-56.9458,-85.6018,10.3455
8.024,-63.2629,-41.6565,20.874
8.0241,-63.2629,-8.88062,25.3601
8.0242,-42.2058,1.09863,24.0784
8.0243,-9.06372,7.78198,23.5291
8.0244,19.1345,16.6626,16.4795
8.0245,31.6772,8.14819,13.2751
8.0246,45.0439,-28.8391,21.4233
8.0247,58.8684,-66.4673,24.7192
8.0248,57.0374,-77.2705,27.3743
8.0249,40.5579,-72.4182,28.2898
8.025,26.7334,-66.1011,29.48
8.0251,18.4937,-62.3474,21.698
8.0252,12.5427,-61.7065,12.9089
8.0253,8.42285,-52.7344,14.1907
8.0254,5.76782,-26.0925,16.4795
8.0255,7.69043,-7.87354,23.9868
8.0256,16.8457,-18.1274,35.8887
8.0257,29.8462,-46.4172,47.5159
8.0258,45.5933,-69.6716,52.2766
8.0259,59.5093,-80.4749,45.9595
8.026,74.5239,-80.9326,35.9802
8.0261,83.6792,-73.9746,31.0364
8.0262,84.137,-51.7273,29.8462
8.0263,79.9255,-20.874,30.0293
8.0264,65.7349,3.11279,33.1421
8.0265,49.53,8.5144,31.311
8.0266,41.1987,-1.92261,29.5715
8.0267,35.7056,-17.3035,24.9939
8.0268,38.0859,-23.3459,21.698
8.0269,39.0015,-19.4092,21.5149
8.027,36.0718,-12.085,26.5503
8.0271,35.7971,-0.915527,21.5149
8.0272,42.2058,15.0146,14.0076
8.0273,55.0232,30.1208,8.97217
8.0274,57.2205,35.614,9.70459
8.0275,44.0369,34.3323,11.7188
8.0276,30.7617,29.8462,12.085
8.0277,14.0076,24.6277,10.0708
8.0278,-6.04248,13.4583,4.66919
8.0279,-28.1982,6.68335,7.23267
8.028,-37.5366,5.95093,9.8877
8.0281,-35.2478,9.24683,12.7258
8.0282,-24.6277,14.2822,13.0005
8.0283,-0.457764,17.0288,27.7405
8.0284,51.178,5.12695,78.6438
8.0285,48.3398,-33.2336,90.271
8.0286,-27.9236,-96.5881,91.7358
8.0287,-98.4192,-150.97,79.2847
8.0288,-134.766,-178.986,77.8198
8.0289,-154.724,-180.359,75.8057
8.029,-146.851,-172.76,94.8486
8.0291,-116.913,-163.696,115.997
8.0292,-82.489,-147.217,117.828
8.0293,-31.2195,-132.019,95.4895
8.0294,29.0222,-133.392,91.9189
8.0295,71.8689,-144.104,103.821
8.0296,91.095,-165.436,108.948
8.0297,101.99,-190.704,114.624
8.0298,107.208,-206.451,110.321
8.0299,91.4612,-213.409,93.1091
8.03,76.0803,-209.198,82.5806
8.0301,80.7495,-192.352,77.0874
8.0302,92.926,-169.556,74.707
8.0303,101.532,-138.153,76.5381
8.0304,126.434,-120.667,80.8411
8.0305,155.548,-121.49,80.1086
8.0306,177.338,-128.174,79.5593
8.0307,192.719,-138.977,90.271
8.0308,199.219,-146.759,96.2219
8.0309,203.247,-138.062,92.3767
8.031,204.987,-119.11,89.7217
8.0311,207.55,-100.983,75.2563
8.0312,204.437,-72.7844,80.2002
8.0313,205.902,-39.6423,81.2988
8.0314,205.719,-20.5994,84.5032
8.0315,203.522,-7.78198,87.5244
8.0316,201.599,-3.02124,89.447
8.0317,191.528,-5.67627,95.4895
8.0318,185.394,-0.823975,97.1375
8.0319,187.225,6.40869,100.708
8.032,189.789,19.8669,107.025
8.0321,190.521,38.7268,104.828
8.0322,186.584,62.7136,90.8203
8.0323,180.267,91.7358,78.9185
8.0324,172.577,92.5598,73.8831
8.0325,165.802,90.0879,84.7778
8.0326,158.02,90.6372,93.9331
8.0327,142.548,94.2993,90.5457
8.0328,122.955,92.7429,85.144
8.0329,101.898,86.3342,88.5315
8.033,88.8062,86.3342,89.9048
8.0331,85.6018,91.2781,92.2852
8.0332,81.5735,100.159,90.271
8.0333,77.2705,100.342,83.8623
8.0334,68.8477,95.5811,37.5366
8.0335,50.4456,73.3337,-4.39453
8.0336,24.1699,7.87354,-4.66919
8.0337,-8.14819,-71.1365,11.5356
8.0338,-40.5579,-101.349,19.5007
8.0339,-48.2483,-81.2988,12.7258
8.034,-54.0161,-38.7268,22.522
8.0341,-56.8542,-7.50732,28.1067
8.0342,-33.5083,7.69043,17.4866
8.0343,-11.0779,5.40161,22.8882
8.0344,15.6555,9.15527,15.3809
8.0345,26.9165,1.09863,16.2964
8.0346,39.917,-30.5786,23.1628
8.0347,54.9316,-67.1997,28.2898
8.0348,54.9316,-78.4607,28.9307
8.0349,40.9241,-75.1648,30.304
8.035,28.5645,-70.5872,27.5574
8.0351,20.05,-64.6362,18.219
8.0352,17.0288,-56.6711,12.5427
8.0353,13.6414,-41.8396,14.4653
8.0354,10.437,-19.1345,20.3247
8.0355,11.6272,-11.0779,26.3672
8.0356,20.5994,-31.5857,36.8042
8.0357,36.5295,-64.27,49.53
8.0358,51.178,-81.0242,54.7485
8.0359,61.4319,-82.5806,48.4314
8.036,72.7844,-75.0732,36.9873
8.0361,78.9185,-63.7207,31.2195
8.0362,77.6367,-42.8467,26.7334
8.0363,73.5168,-14.4653,26.0925
8.0364,65.5518,5.31006,30.9448
8.0365,54.1992,5.76782,33.2336
8.0366,48.3398,-7.50732,33.4167
8.0367,42.9382,-24.6277,31.2195
8.0368,41.8396,-27.9236,24.9939
8.0369,41.3818,-22.0642,22.4304
8.037,37.6282,-13.8245,25.2686
8.0371,37.9028,-1.92261,22.2473
8.0372,44.7693,16.8457,12.7258
8.0373,53.3752,35.8887,8.14819
8.0374,50.2625,42.572,10.2539
8.0375,35.8887,36.5295,13.3667
8.0376,25.5432,29.5715,14.0991
8.0377,17.2119,19.043,14.2822
8.0378,-0.0915527,8.97217,1.83105
8.0379,-19.7754,2.47192,8.97217
8.038,-29.2053,2.92969,8.78906
8.0381,-29.2053,7.50732,10.8032
8.0382,-21.1487,13.3667,14.1907
8.0383,13.2751,12.4512,52.3682
8.0384,29.5715,-14.0076,78.3691
8.0385,3.66211,-71.4111,99.5178
8.0386,-44.1284,-120.117,94.1162
8.0387,-94.0247,-144.104,88.8977
8.0388,-135.956,-161.316,85.8765
8.0389,-146.759,-167.999,86.6089
8.039,-132.294,-170.563,103.821
8.0391,-109.772,-164.429,115.173
8.0392,-66.2842,-148.773,113.068
8.0393,-21.5149,-138.245,103.455
8.0394,26.3672,-144.562,103.455
8.0395,67.3828,-160.767,113.342
8.0396,87.1582,-175.598,112.701
8.0397,93.75,-191.986,111.694
8.0398,98.2361,-203.888,103.638
8.0399,91.0034,-213.226,90.5457
8.04,86.6089,-206.451,83.2214
8.0401,94.9402,-185.944,83.2214
8.0402,102.448,-157.196,75.8972
8.0403,109.772,-133.484,72.876
8.0404,132.019,-128.723,79.9255
8.0405,154.907,-133.759,81.7566
8.0406,177.246,-137.97,83.4045
8.0407,195.831,-141.174,91.0034
8.0408,202.698,-141.449,98.3276
8.0409,207.001,-131.47,94.3909
8.041,212.402,-117.188,91.1865
8.0411,214.142,-94.8486,86.4258
8.0412,208.374,-65.4602,85.6934
8.0413,204.712,-40.3748,84.7778
8.0414,200.226,-27.832,83.4045
8.0415,198.212,-15.564,86.4258
8.0416,194.733,-9.79614,90.271
8.0417,188.141,-7.32422,96.2219
8.0418,189.514,0.823975,98.877
8.0419,189.697,11.261,100.616
8.042,191.711,25.177,103.912
8.0421,195.557,45.9595,97.9614
8.0422,191.528,65.8264,87.3413
8.0423,187.317,85.5103,78.6438
8.0424,171.295,86.3342,80.4749
8.0425,163.422,87.7991,83.4961
8.0426,150.787,88.4399,85.8765
8.0427,132.751,88.1653,85.8765
8.0428,117.004,87.616,84.9609
8.0429,100.616,86.9751,88.5315
8.043,92.6514,91.5527,88.5315
8.0431,90.3625,97.7783,89.9048
8.0432,87.3413,103.271,86.792
8.0433,83.313,100.433,85.7849
8.0434,79.1016,94.2993,41.8396
8.0435,52.7344,72.052,-2.83813
8.0436,15.564,0.0915527,-0.457764
8.0437,-21.2402,-79.9255,12.8174
8.0438,-53.833,-105.743,15.6555
8.0439,-57.4951,-79.2847,11.1694
8.044,-57.7698,-35.614,26.4587
8.0441,-54.7485,-5.76782,30.3955
8.0442,-34.6985,1.5564,27.0081
8.0443,-4.21143,8.05664,22.1558
8.0444,21.6064,13.4583,12.4512
8.0445,32.5928,2.01416,13.3667
8.0446,45.5017,-33.783,22.9797
8.0447,55.481,-69.3054,28.1982
8.0448,52.3682,-74.7986,28.3813
8.0449,38.269,-68.7561,29.3884
8.045,26.825,-67.1082,29.2969
8.0451,18.4021,-70.1294,18.4937
8.0452,14.3738,-68.2983,10.8032
8.0453,11.1694,-47.4243,12.7258
8.0454,10.2539,-10.0708,17.4866
8.0455,9.52148,6.7749,23.9868
8.0456,15.4724,-15.2893,35.614
8.0457,33.2336,-55.6641,45.3186
8.0458,51.2695,-84.5032,52.0935
8.0459,63.5376,-91.5527,46.5088
8.046,77.179,-85.144,38.5437
8.0461,80.9326,-71.1365,34.79
8.0462,76.2634,-46.4172,31.2195
8.0463,70.8618,-13.8245,28.656
8.0464,58.5022,8.05664,28.5645
8.0465,44.5862,11.1694,27.4658
8.0466,41.2903,-1.46484,29.0222
8.0467,38.269,-19.4092,28.1982
8.0468,39.6423,-25.177,25.6348
8.0469,43.2129,-21.3318,23.0713
8.047,41.1987,-15.9302,27.5574
8.0471,42.2058,-7.41577,23.0713
8.0472,47.5159,8.97217,15.1062
8.0473,55.0232,28.1067,8.5144
8.0474,52.2766,38.7268,6.40869
8.0475,34.8816,38.1775,8.78906
8.0476,19.6838,32.7759,7.23267
8.0477,9.70459,23.5291,6.13403
8.0478,-7.41577,13.0005,6.7749
8.0479,-25.2686,4.21143,8.42285
8.048,-30.5786,3.20435,11.3525
8.0481,-26.825,4.30298,12.4512
8.0482,-18.0359,11.261,9.24683
8.0483,5.0354,20.5078,23.8953
8.0484,57.2205,8.42285,82.2144
8.0485,44.8608,-29.8462,92.1021
8.0486,-40.3748,-96.2219,92.1021
8.0487,-107.391,-151.52,81.8481
8.0488,-144.104,-179.077,75.531
8.0489,-160.767,-179.26,73.8831
8.049,-147.308,-171.661,95.9473
8.0491,-114.166,-162.506,118.561
8.0492,-76.5381,-144.379,113.068
8.0493,-24.353,-130.737,92.926
8.0494,34.3323,-133.942,87.9822
8.0495,74.8901,-144.287,103.455
8.0496,90.5457,-163.513,107.574
8.0497,99.4263,-190.796,118.469
8.0498,101.257,-205.627,107.758
8.0499,86.2427,-213.501,88.8062
8.05,71.6858,-208.008,76.8127
8.0501,79.5593,-192.993,77.6367
8.0502,92.926,-167.908,75.2563
8.0503,106.201,-137.421,78.5522
8.0504,133.484,-120.026,78.8269
8.0505,156.921,-118.652,75.8972
8.0506,175.598,-124.603,79.5593
8.0507,186.859,-137.146,83.4961
8.0508,193.817,-145.02,95.1233
