DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f1200ap3ae25.dwd
Config ID:,6-n6000f1200ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
2,311.646,151.52,98.1445
2.0001,327.118,199.86,80.2917
2.0002,329.224,225.586,75.4395
2.0003,304.504,234.375,90.7288
2.0004,268.25,238.861,87.2498
2.0005,222.015,231.171,75.1648
2.0006,177.063,217.072,66.8335
2.0007,139.893,201.324,69.397
2.0008,122.864,194.733,83.6792
2.0009,128.448,206.451,78.7354
2.001,147.308,225.586,74.8901
2.0011,196.747,233.826,67.4744
2.0012,221.191,212.219,13.2751
2.0013,220.001,115.723,36.3464
2.0014,166.809,-42.6636,53.5583
2.0015,20.05,-206.726,60.8826
2.0016,-128.723,-297.272,36.7126
2.0017,-217.255,-322.357,32.0435
2.0018,-272.919,-287.75,54.8401
2.0019,-270.081,-227.417,81.5735
2.002,-209.564,-169.006,101.99
2.0021,-116.455,-109.863,101.898
2.0022,-12.7258,-64.5447,77.3621
2.0023,98.2361,-80.1086,83.5876
2.0024,199.493,-136.505,95.3979
2.0025,244.904,-205.261,104.736
2.0026,252.319,-270.355,120.3
2.0027,226.41,-309.631,116.272
2.0028,181.366,-313.293,85.4187
2.0029,138.336,-277.863,60.2417
2.003,105.835,-216.614,48.9807
2.0031,84.0454,-146.027,43.6707
2.0032,85.968,-90.3625,38.5437
2.0033,116.547,-70.0378,43.9453
2.0034,167.999,-100.25,61.2488
2.0035,228.149,-145.203,88.7146
2.0036,274.017,-176.239,108.948
2.0037,310.089,-204.071,113.068
2.0038,326.569,-198.578,105.194
2.0039,321.991,-163.605,85.3271
2.004,310.181,-104.37,63.7207
2.0041,281.25,-29.8462,57.9529
2.0042,243.347,33.8745,55.2979
2.0043,206.818,60.6079,65.0024
2.0044,172.119,56.8542,67.0166
2.0045,150.604,26.1841,69.0308
2.0046,147.491,-3.20435,72.876
2.0047,163.971,-22.6135,86.792
2.0048,189.056,-20.9656,103.18
2.0049,220.642,13.092,104.919
2.005,248.84,66.925,86.0596
2.0051,253.418,114.899,63.3545
2.0052,226.868,142.273,35.3394
2.0053,181.732,145.752,26.3672
2.0054,131.287,129.822,33.2336
2.0055,74.1577,106.567,43.6707
2.0056,26.7334,73.5168,32.8674
2.0057,-7.69043,50.9033,28.8391
2.0058,-14.3738,42.3889,29.3884
2.0059,2.83813,45.7764,28.4729
2.006,43.1213,58.3191,39.0015
2.0061,103.455,58.6853,76.0803
2.0062,145.386,28.7476,104.553
2.0063,98.6938,-38.7268,105.652
2.0064,-21.6064,-148.132,97.1375
2.0065,-151.154,-288.208,78.6438
2.0066,-247.009,-405.579,72.3267
2.0067,-285.187,-481.018,79.3762
2.0068,-268.524,-501.709,115.631
2.0069,-203.064,-452.728,143.921
2.007,-104.279,-368.408,154.541
2.0071,18.0359,-287.201,154.358
2.0072,128.448,-223.114,135.498
2.0073,214.233,-200.409,129.456
2.0074,274.109,-217.255,118.927
2.0075,286.835,-272.644,131.195
2.0076,290.68,-343.323,111.145
2.0077,273.01,-394.684,107.208
2.0078,251.953,-406.128,96.0388
2.0079,243.073,-376.373,87.7991
2.008,245.087,-323.456,73.8831
2.0081,259.46,-264.587,65.3687
2.0082,301.208,-204.712,69.8547
2.0083,340.118,-157.196,62.5305
2.0084,366.852,-134.674,71.8689
2.0085,390.106,-134.125,93.0176
2.0086,409.149,-149.78,116.364
2.0087,422.882,-170.288,125.977
2.0088,423.889,-172.211,119.385
2.0089,425.446,-155.365,116.364
2.009,417.48,-109.039,98.053
2.0091,408.051,-45.4102,89.3555
2.0092,400.726,19.8669,84.3201
2.0093,388.184,67.9321,89.9963
2.0094,361.176,91.6443,95.5811
2.0095,326.66,98.2361,100.342
2.0096,300.385,90.5457,114.166
2.0097,290.588,88.0737,119.843
2.0098,291.321,92.7429,129.73
2.0099,297.546,106.018,128.174
2.01,312.195,141.266,109.772
2.0101,320.984,183.838,87.7075
2.0102,319.244,210.754,77.6367
2.0103,303.223,227.966,85.2356
2.0104,271.271,239.868,81.9397
2.0105,233.643,242.981,73.8831
2.0106,200.043,241.15,77.179
2.0107,180.634,241.15,86.2427
2.0108,180.267,247.65,95.6726
2.0109,197.662,252.594,95.4895
2.011,216.888,245.27,81.3904
2.0111,245.453,222.656,50.0793
2.0112,246.735,154.449,30.3955
2.0113,179.718,21.3318,42.9382
2.0114,95.7642,-111.42,63.9954
