DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f900ap3ae25.dwd
Config ID:,6-n6000f900ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
3,341.217,-154.358,109.497
3.0001,352.936,-170.38,123.871
3.0002,353.851,-169.281,120.3
3.0003,350.006,-161.224,114.99
3.0004,352.478,-132.477,102.081
3.0005,352.478,-84.0454,93.6584
3.0006,352.112,-21.4233,90.6372
3.0007,350.006,27.2827,95.6726
3.0008,339.844,60.6995,105.286
3.0009,318.237,69.9463,105.743
3.001,289.948,61.615,100.891
3.0011,274.841,52.0935,114.624
3.0012,269.714,57.2205,128.815
3.0013,259.369,67.0166,132.751
3.0014,267.059,89.5386,127.808
3.0015,280.426,130.829,95.2148
3.0016,277.313,161.499,80.9326
3.0017,267.426,180.634,80.2002
3.0018,255.707,191.528,87.616
3.0019,233.276,197.479,87.2498
3.002,198.761,196.472,76.8127
3.0021,167.908,190.338,77.6367
3.0022,147.4,182.373,87.2498
3.0023,139.16,178.07,86.8835
3.0024,140.35,167.084,91.6443
3.0025,152.161,170.929,67.749
3.0026,164.795,159.576,39.1846
3.0027,159.119,123.23,11.8103
3.0028,134.674,30.3955,28.656
3.0029,74.8901,-81.4819,48.8892
3.003,-23.7122,-169.739,54.1077
3.0031,-123.596,-211.853,44.3115
3.0032,-194.55,-214.691,42.9382
3.0033,-235.291,-195.282,46.875
3.0034,-224.396,-165.619,60.791
3.0035,-161.865,-118.927,71.6858
3.0036,-73.4253,-70.1294,75.6226
3.0037,17.395,-46.4172,75.1648
3.0038,103.455,-75.3479,78.5522
3.0039,174.683,-129.181,81.7566
3.004,210.114,-180.542,89.6301
3.0041,202.881,-222.839,91.8274
3.0042,166.168,-247.101,86.9751
3.0043,122.681,-242.615,71.7773
3.0044,82.8552,-208.282,61.0657
3.0045,49.6216,-156.738,51.8188
3.0046,35.7971,-106.567,48.3398
3.0047,50.9949,-78.5522,54.0161
3.0048,88.5315,-82.489,63.5376
3.0049,139.16,-112.152,79.7424
3.005,189.423,-137.787,95.4895
3.0051,229.523,-157.013,107.574
3.0052,253.601,-170.105,101.715
3.0053,267.059,-168.732,95.9473
3.0054,261.292,-132.111,82.8552
3.0055,240.967,-78.5522,67.5659
3.0056,209.473,-21.6064,60.6995
3.0057,174.866,16.6626,59.2346
3.0058,140.259,30.5786,63.9038
3.0059,123.596,25.6348,69.5801
3.006,117.828,9.52148,68.573
3.0061,125.244,-10.7117,75.3479
3.0062,146.942,-23.1628,85.5103
3.0063,170.837,-17.9443,83.313
3.0064,190.704,11.5356,74.6155
3.0065,201.233,54.5654,58.5022
3.0066,189.88,86.2427,43.396
3.0067,156.647,101.074,34.79
3.0068,123.688,107.117,31.311
3.0069,86.7004,95.2148,29.9377
3.007,46.6919,71.7773,27.0996
3.0071,13.092,48.1567,24.0784
3.0072,-2.56348,30.3955,28.656
3.0073,-0.640869,25.5432,28.0151
3.0074,13.2751,30.4871,30.4871
3.0075,41.2903,41.9312,40.1001
3.0076,109.314,41.6565,94.3909
3.0077,113.434,8.69751,96.6797
3.0078,20.6909,-82.9468,105.194
3.0079,-98.2361,-189.056,86.2427
3.008,-203.43,-304.962,77.2705
3.0081,-261.292,-378.662,77.6367
3.0082,-268.799,-406.952,97.5037
3.0083,-225.403,-399.994,134.033
3.0084,-159.119,-357.147,147.308
3.0085,-63.7207,-292.969,145.66
3.0086,45.3186,-235.474,130.829
3.0087,135.498,-199.677,133.392
3.0088,199.31,-192.169,134.216
3.0089,226.685,-221.924,127.533
3.009,239.227,-265.32,129.547
3.0091,228.79,-309.723,119.476
3.0092,204.62,-340.759,104.37
3.0093,192.535,-346.71,89.8132
3.0094,195.557,-328.125,85.8765
3.0095,210.48,-279.602,80.7495
3.0096,238.77,-216.98,85.6018
3.0097,270.996,-164.612,78.4607
3.0098,295.898,-138.428,82.7637
3.0099,314.575,-129.181,90.8203
3.01,325.928,-147.217,110.229
3.0101,337.097,-166.992,116.089
3.0102,343.323,-163.605,121.948
3.0103,361.633,-161.774,120.483
3.0104,362.274,-138.428,112.793
3.0105,360.077,-89.5386,103.821
3.0106,357.147,-29.8462,98.053
3.0107,353.851,20.6909,94.8486
