DynoWare,Version 2.5.1.2
Path:,C:\Users\Administrator\Desktop\20180315\
Filename:,6-n6000f1500ap3ae25.dwd
Config ID:,6-n6000f1500ap3ae25.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:, 
Time:, 
Sampling rate [Hz]:,10000
Measuring time [s]:,50
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,500001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
2,297.821,65.1855,44.0369
2.0001,219.36,105.927,49.53
2.0002,156.372,90.3625,47.9736
2.0003,149.048,26.2756,63.6292
2.0004,160.126,-22.522,94.4824
2.0005,176.422,-31.6772,117.645
2.0006,211.761,12.1765,115.906
2.0007,266.235,63.5376,101.715
2.0008,284.912,109.772,86.9751
2.0009,279.419,149.78,81.665
2.001,269.623,195.648,53.833
2.0011,239.044,215.332,24.9939
2.0012,167.175,172.76,14.5569
2.0013,86.0596,99.1516,27.2827
2.0014,31.1279,52.8259,23.2544
2.0015,-10.6201,40.3748,5.40161
2.0016,-37.4451,49.9878,13.8245
2.0017,-27.0996,77.6367,41.6565
2.0018,35.7056,117.188,69.5801
2.0019,142.731,170.288,63.446
2.002,236.847,189.972,79.834
2.0021,239.044,70.6787,107.574
2.0022,107.758,-159.485,109.68
2.0023,-53.1921,-403.473,119.568
2.0024,-162.506,-565.704,63.9038
2.0025,-249.481,-642.151,72.6929
2.0026,-263.214,-636.292,105.652
2.0027,-219.543,-578.888,151.062
2.0028,-142.822,-450.531,162.506
2.0029,-66.5588,-300.385,139.984
2.003,31.6772,-200.775,112.976
2.0031,154.083,-178.711,90.3625
2.0032,282.806,-201.233,115.265
2.0033,372.986,-254.7,140.167
2.0034,403.015,-341.492,150.696
2.0035,423.431,-424.438,138.702
2.0036,425.262,-491.913,104.553
2.0037,412.17,-485.504,53.9246
2.0038,396.423,-405.853,38.3606
2.0039,374.634,-286.652,37.7197
2.004,343.323,-171.204,42.3889
2.0041,337.463,-101.898,44.6777
